gold,broad_money,petrol_future,M_0
316.25,28022.1,27.1,7063.8
315.4,28022.1,27.6,7063.8
314.7,28022.1,27.7,7063.8
311.25,28022.1,27.57,7063.8
312,28022.1,27.64,7063.8
314.6,28022.1,27.92,7063.8
314,28022.1,27.84,7063.8
318.1,28022.1,27.48,7063.8
315.65,28022.1,27.47,7063.8
314.2,28022.1,27.02,7063.8
314.8,28022.1,27.08,7063.8
314.3,28022.1,26.92,7063.8
312,28022.1,26.81,7063.8
315,28022.1,26.95,7063.8
314.5,28022.1,27.01,7063.8
313.75,28022.1,27.41,7063.8
318.25,28022.1,27.29,7063.8
318.9,28022.1,27.23,7063.8
323.75,28022.1,27.22,7063.8
325.4,28022.1,27.3,7063.8
318.1,28022.1,27.2,7063.8
313.45,28022.1,26.92,7063.8
314.65,28022.1,26.89,7063.8
322.5,28022.1,27.66,7063.8
321.35,28022.1,27.63,7063.8
312.5,28022.1,27.33,7063.8
317.75,28022.1,26.87,7063.8
313.9,28022.1,26.68,7063.8
308.25,28022.1,26.94,7063.8
310.35,28022.1,26.91,7063.8
309.25,28022.1,26.99,7063.8
314.85,28022.1,27.45,7063.8
314.5,28022.1,27.38,7063.8
321,28022.1,27.59,7063.8
326.5,28022.1,27.66,7063.8
321.75,28022.1,27.37,7063.8
325.6,28022.1,27.48,7063.8
320,28022.1,27.49,7063.8
318.9,28022.1,27.4,7063.8
317.25,28022.1,27.7,7063.8
322.5,28022.1,27.16,7063.8
317.75,28022.1,27.34,7063.8
317.4,28022.1,27.31,7063.8
316.95,28022.1,27.3,7063.8
326.5,28022.1,27.36,7063.8
325.25,28022.1,27.34,7063.8
327.5,28022.1,27.12,7063.8
322.1,28022.1,27.19,7063.8
301.25,28022.1,26.52,7063.8
302.05,28022.1,26.78,7063.8
302.85,28022.1,27.07,7063.8
301.65,28022.1,27.21,7063.8
299.8,28022.1,27.59,7063.8
300.15,28022.1,28.04,7063.8
302.5,28022.1,27.36,7063.8
303.2,28022.1,27.82,7063.8
304.15,28022.1,27.8,7063.8
304,28022.1,27.8,7063.8
302.6,28022.1,27.29,7063.8
302.9,28022.1,27.18,7063.8
299.85,28022.1,27.14,7063.8
298.4,28022.1,26.76,7063.8
284.25,28022.1,26.44,7063.8
285.75,28022.1,26.79,7063.8
334.85,28022.1,27.95,7063.8
334.85,28022.1,28.1,7063.8
336,28022.1,28.08,7063.8
340.9,28022.1,28.1,7063.8
337,28022.1,27.94,7063.8
333.25,28022.1,28.08,7063.8
328.2,28022.1,28.28,7063.8
326,28022.1,28.27,7063.8
325.75,28022.1,27.97,7063.8
317.4,28022.1,27.75,7063.8
319.35,28022.1,27.64,7063.8
321.65,28022.1,27.89,7063.8
320.75,28022.1,27.88,7063.8
319.25,28022.1,28.04,7063.8
321.3,28022.1,28.01,7063.8
319.3,28022.1,27.92,7063.8
317.6,28022.1,28.08,7063.8
316.25,28022.1,28.1,7063.8
316.3,28022.1,28.2,7063.8
319.15,28022.1,28.72,7063.8
327.45,28022.1,28.05,7063.8
327.9,28022.1,28.23,7063.8
328.5,28022.1,28.42,7063.8
329.25,28022.1,28.9,7063.8
328.6,28022.1,28.93,7063.8
325.75,28022.1,29.08,7063.8
322.25,28022.1,29.03,7063.8
324.95,28022.1,29.26,7063.8
324.9,28022.1,29.31,7063.8
328,28022.1,29,7063.8
325.75,28022.1,29.16,7063.8
326.35,28022.1,29.27,7063.8
326.55,28022.1,28.98,7063.8
325.5,28022.1,28.66,7063.8
325.6,28022.1,28.73,7063.8
326.65,28022.1,29.06,7063.8
327,28022.1,29.35,7063.8
323.65,28022.1,29.36,7063.8
325.5,28022.1,29.55,7063.8
326.25,28022.1,29.52,7063.8
326.15,28022.1,29.97,7063.8
327.75,28022.1,30.28,7063.8
325.9,28022.1,29.33,7063.8
326.2,28022.1,29.59,7063.8
325.4,28022.1,29.65,7063.8
326.5,28022.1,30.17,7063.8
326.3,28022.1,30.22,7063.8
326.2,28022.1,30.12,7063.8
325.1,28022.1,30.38,7063.8
323.5,28022.1,30.39,7063.8
325.35,28022.1,30.19,7063.8
324.6,28022.1,29.96,7063.8
324.4,28022.1,30.34,7063.8
323,28022.1,30.39,7063.8
321.95,28022.1,30.45,7063.8
323.1,28022.1,30.69,7063.8
323.1,28022.1,30.82,7063.8
324.5,28022.1,31.04,7063.8
325.3,28022.1,31.35,7063.8
325.4,28022.1,30.97,7063.8
323.5,28022.1,30.93,7063.8
324.35,28022.1,31.31,7063.8
325.65,28022.1,31.72,7063.8
325.8,28022.1,30.82,7063.8
326.5,28022.1,30.91,7063.8
330.2,28022.1,31.01,7063.8
331.25,28022.1,30.74,7063.8
328.15,28022.1,29.75,7063.8
321.5,28022.1,29.75,7063.8
322.6,28022.1,29.06,7063.8
324.2,28022.1,28.64,7063.8
322.8,28022.1,28.88,7063.8
322.3,28022.1,28.74,7063.8
317.4,28022.1,27.51,7063.8
317,28022.1,25.23,7063.8
315.5,28022.1,26.78,7063.8
317.5,28022.1,27.25,7063.8
317.75,28022.1,27.37,7063.8
318.6,28022.1,27.27,7063.8
321.15,28022.1,26.42,7063.8
315.5,28022.1,26.75,7063.8
316.75,28022.1,26.94,7063.8
315,28022.1,27.09,7063.8
325.55,28022.1,25.77,7063.8
327.6,28022.1,25.57,7063.8
324.85,28022.1,26.22,7063.8
326.85,28022.1,26.89,7063.8
326.8,28022.1,26.66,7063.8
326.8,28022.1,26.3,7063.8
314.85,28022.1,27.55,7063.8
313.55,28022.1,27.37,7063.8
315.65,28022.1,27.11,7063.8
315.85,28022.1,27.31,7063.8
302.7,28022.1,25.62,7063.8
305.5,28022.1,25.69,7063.8
308,28022.1,25.68,7063.8
307.25,28022.1,25.97,7063.8
306.9,28022.1,25.55,7063.8
300.25,28022.1,25.38,7063.8
300.85,28022.1,25.28,7063.8
298.85,28022.1,25.25,7063.8
297.75,28022.1,25.23,7063.8
303.25,28022.1,25.38,7063.8
302.9,28022.1,25.67,7063.8
306.65,28022.1,26.41,7063.8
303.6,28022.1,26.74,7063.8
299,28022.1,26.12,7063.8
301.8,28022.1,25.91,7063.8
290.8,28022.1,26.69,7063.8
287.75,28022.1,26.73,7063.8
287.25,28022.1,27.2,7063.8
288.65,28022.1,27.74,7063.8
287.9,28022.1,27.55,7063.8
287.4,28022.1,27.77,7063.8
289.6,28022.1,28.08,7063.8
291,28022.1,27.74,7063.8
300.5,28022.1,25.43,7063.8
303.8,28022.1,25.76,7063.8
304.25,28022.1,25.77,7063.8
320.05,28022.1,26.53,7063.8
325.8,28022.1,26.07,7063.8
305.5,28022.1,25.92,7063.8
302.3,28022.1,25.84,7063.8
303.15,28022.1,25.18,7063.8
298.25,28022.1,25.56,7063.8
302,28022.1,25.48,7063.8
437.5,33952.1,15.09,8724.1
433.55,33952.1,15.43,8724.1
436.55,33952.1,15.16,8724.1
436.85,33952.1,14.94,8724.1
439.1,33952.1,14.86,8724.1
435.65,33952.1,15.7,8724.1
436.25,33952.1,15.23,8724.1
444.8,33952.1,15.66,8724.1
443.6,33952.1,16.75,8724.1
445,33952.1,16.67,8724.1
436.8,33952.1,15.36,8724.1
440.9,33952.1,15.83,8724.1
439.4,33952.1,15.46,8724.1
436.8,33952.1,14.78,8724.1
433.8,33952.1,14.72,8724.1
435,33952.1,14.44,8724.1
440.75,33952.1,14.76,8724.1
430.45,33952.1,15.78,8724.1
426.15,33952.1,16.01,8724.1
429.3,33952.1,15.72,8724.1
428.9,33952.1,15.67,8724.1
429.1,33952.1,15.5,8724.1
431.8,33952.1,15.59,8724.1
445.6,33952.1,16.61,8724.1
447.25,33952.1,16.45,8724.1
442.9,33952.1,16.7,8724.1
445.5,33952.1,16.62,8724.1
442.4,33952.1,16.6,8724.1
435.75,33952.1,16.46,8724.1
432.1,33952.1,15.92,8724.1
446.2,33952.1,16,8724.1
445.5,33952.1,16.28,8724.1
442.85,33952.1,16.58,8724.1
449.25,33952.1,16.49,8724.1
447.9,33952.1,16.09,8724.1
449.5,33952.1,16.86,8724.1
435.9,33952.1,15.37,8724.1
436.35,33952.1,15.45,8724.1
436.5,33952.1,15.49,8724.1
442.4,33952.1,16,8724.1
441.8,33952.1,16.29,8724.1
442.25,33952.1,15.59,8724.1
442.2,33952.1,15.68,8724.1
441.7,33952.1,17.28,8724.1
442.1,33952.1,17.66,8724.1
438.6,33952.1,17.42,8724.1
441.1,33952.1,17.13,8724.1
440.6,33952.1,17.11,8724.1
450.8,33952.1,18.09,8724.1
449.35,33952.1,18.12,8724.1
450.35,33952.1,18.3,8724.1
456.3,33952.1,18.37,8724.1
458,33952.1,18.52,8724.1
456.9,33952.1,18.03,8724.1
457.4,33952.1,17.74,8724.1
454.25,33952.1,18.36,8724.1
448.6,33952.1,18.3,8724.1
450.2,33952.1,18.4,8724.1
447,33952.1,18.6,8724.1
450.3,33952.1,18.27,8724.1
452.1,33952.1,17.98,8724.1
449,33952.1,17.99,8724.1
449,33952.1,17.14,8724.1
445.9,33952.1,17.37,8724.1
443.25,33952.1,17.2,8724.1
444.85,33952.1,17.39,8724.1
442.8,33952.1,17.74,8724.1
444.4,33952.1,17.54,8724.1
446.65,33952.1,17.46,8724.1
449.1,33952.1,17.49,8724.1
451,33952.1,17.48,8724.1
449.5,33952.1,17.49,8724.1
453.25,33952.1,17.66,8724.1
454.7,33952.1,17.76,8724.1
454,33952.1,17.43,8724.1
457.9,33952.1,17.45,8724.1
453.95,33952.1,16.96,8724.1
451.8,33952.1,17.03,8724.1
453.9,33952.1,17.1,8724.1
454.9,33952.1,16.98,8724.1
453.75,33952.1,17.08,8724.1
456.95,33952.1,17.08,8724.1
456.95,33952.1,17.01,8724.1
453.6,33952.1,16.79,8724.1
449.85,33952.1,16.81,8724.1
447.2,33952.1,17.06,8724.1
449.4,33952.1,16.88,8724.1
448.8,33952.1,17.89,8724.1
457.6,33952.1,16.73,8724.1
449,33952.1,16.43,8724.1
446.5,33952.1,16.83,8724.1
452,33952.1,16.53,8724.1
453.9,33952.1,16.66,8724.1
450.25,33952.1,16.45,8724.1
454.2,33952.1,16,8724.1
451.65,33952.1,15.89,8724.1
448.5,33952.1,16.44,8724.1
447.8,33952.1,16.37,8724.1
443.25,33952.1,16.01,8724.1
443.3,33952.1,15.86,8724.1
443.85,33952.1,15.78,8724.1
480.5,33952.1,17.69,8724.1
475.5,33952.1,17.85,8724.1
481.4,33952.1,17.82,8724.1
483.5,33952.1,17.39,8724.1
483.9,33952.1,17.31,8724.1
483.9,33952.1,16.75,8724.1
480.4,33952.1,16.63,8724.1
481.9,33952.1,16.59,8724.1
481.4,33952.1,17.21,8724.1
480.3,33952.1,16.95,8724.1
475.4,33952.1,17.33,8724.1
477.1,33952.1,17.35,8724.1
477.65,33952.1,17.25,8724.1
477.2,33952.1,17.18,8724.1
476.2,33952.1,17.01,8724.1
476.25,33952.1,17.09,8724.1
469.75,33952.1,17.04,8724.1
444.75,33952.1,16.39,8724.1
442.2,33952.1,16.38,8724.1
438.5,33952.1,16.05,8724.1
431.2,33952.1,15.96,8724.1
432.85,33952.1,16.16,8724.1
432.75,33952.1,16.15,8724.1
436.8,33952.1,16.31,8724.1
434.6,33952.1,16.08,8724.1
432.75,33952.1,15.61,8724.1
434.1,33952.1,15.26,8724.1
433.1,33952.1,15.03,8724.1
432.85,33952.1,15.26,8724.1
432,33952.1,15.87,8724.1
425.8,33952.1,15.68,8724.1
427.2,33952.1,15.71,8724.1
427.95,33952.1,15.76,8724.1
433.25,33952.1,15.52,8724.1
430.25,33952.1,15.61,8724.1
432.65,33952.1,15.49,8724.1
429,33952.1,15.47,8724.1
430.55,33952.1,15.57,8724.1
432.6,33952.1,15.73,8724.1
431,33952.1,15.76,8724.1
432.6,33952.1,15.7,8724.1
433,33952.1,15.68,8724.1
434.2,33952.1,15.31,8724.1
433.15,33952.1,15.34,8724.1
433.15,33952.1,15.22,8724.1
427.75,33952.1,15.27,8724.1
427.75,33952.1,15.18,8724.1
430.4,33952.1,15.08,8724.1
428.75,33952.1,14.79,8724.1
428.45,33952.1,14.24,8724.1
427.25,33952.1,14.16,8724.1
428.25,33952.1,14.48,8724.1
429.4,33952.1,14.18,8724.1
419.4,33952.1,14.49,8724.1
420.45,33952.1,14.56,8724.1
421.5,33952.1,15.4,8724.1
418.85,33952.1,14.9,8724.1
415.15,33952.1,14.57,8724.1
409,33952.1,14.73,8724.1
410,33952.1,15.04,8724.1
400.65,33952.1,14.56,8724.1
397.75,33952.1,14.65,8724.1
400.35,33952.1,14.18,8724.1
395.3,33952.1,14.2,8724.1
397.1,33952.1,14.14,8724.1
395.4,33952.1,14.11,8724.1
398.5,33952.1,13.92,8724.1
396.7,33952.1,13.37,8724.1
396,33952.1,13.06,8724.1
398.5,33952.1,13.07,8724.1
395.45,33952.1,12.6,8724.1
403.75,33952.1,12.66,8724.1
403.9,33952.1,12.94,8724.1
406.75,33952.1,13.6,8724.1
407.25,33952.1,13.55,8724.1
406.4,33952.1,14.11,8724.1
406.7,33952.1,14.21,8724.1
407.6,33952.1,14.92,8724.1
413,33952.1,15.21,8724.1
411.45,33952.1,14.61,8724.1
411.25,33952.1,15.4,8724.1
412.2,33952.1,14.6,8724.1
410.25,33952.1,14.37,8724.1
405.5,33952.1,13.17,8724.1
407.65,33952.1,13.26,8724.1
407.4,33952.1,13.41,8724.1
407.5,33952.1,13.68,8724.1
411.5,33952.1,13.85,8724.1
412.4,33952.1,13.58,8724.1
410.9,33952.1,13.44,8724.1
414.75,33952.1,13.75,8724.1
423.4,33952.1,13.9,8724.1
421,33952.1,14.04,8724.1
420.6,33952.1,14.06,8724.1
418.35,33952.1,13.8,8724.1
420.8,33952.1,13.86,8724.1
454.9,33952.1,17.17,8724.1
457.25,33952.1,17.35,8724.1
457.25,33952.1,17.4,8724.1
453.9,33952.1,17.37,8724.1
453.25,33952.1,17.54,8724.1
452,33952.1,17.43,8724.1
455.5,33952.1,17.51,8724.1
456.75,33952.1,17.58,8724.1
453.7,33952.1,17.65,8724.1
464.7,33952.1,17.5,8724.1
464.55,33952.1,17.26,8724.1
464.4,33952.1,17.37,8724.1
457.85,33952.1,17.33,8724.1
455.45,33952.1,17.07,8724.1
422.6,33952.1,15.32,8724.1
424.75,33952.1,15.61,8724.1
424.25,33952.1,15.64,8724.1
429,33952.1,15.34,8724.1
427.75,33952.1,15.46,8724.1
422.6,33952.1,15.74,8724.1
423.2,33952.1,15.44,8724.1
419.75,33952.1,15.84,8724.1
420,33952.1,16.06,8724.1
420.5,33952.1,16,8724.1
420,33952.1,16.37,8724.1
418.45,33952.1,16.35,8724.1
411.75,33952.1,16.72,8724.1
413,33952.1,16.31,8724.1
412.9,33952.1,17.73,8724.1
414.6,33952.1,16.3,8724.1
417.25,33952.1,16.49,8724.1
417.25,33952.1,16.61,8724.1
417.25,33952.1,16.95,8724.1
412.85,33952.1,16.97,8724.1
410.25,33952.1,16.77,8724.1
410.25,33952.1,17.24,8724.1
417.75,33952.1,13.6,8724.1
415.95,33952.1,12.98,8724.1
418.4,33952.1,13.86,8724.1
419.25,33952.1,13.97,8724.1
424.25,33952.1,15.03,8724.1
423.1,33952.1,14.92,8724.1
465,33952.1,16.71,8724.1
466.35,33952.1,16.96,8724.1
458,33952.1,16.94,8724.1
452.7,33952.1,16.82,8724.1
455.9,33952.1,16.94,8724.1
445.4,33952.1,17.14,8724.1
443.25,33952.1,17.14,8724.1
422,33952.1,13.29,8724.1
420.3,33952.1,13.95,8724.1
419.3,33952.1,14.27,8724.1
424,33952.1,13.9,8724.1
419.1,33952.1,13.98,8724.1
423.85,33952.1,13.67,8724.1
413,35910.2,21.29,8807.7
413,35910.2,21.91,8807.7
406,35910.2,21.78,8807.7
398.6,35910.2,21.82,8807.7
374.15,35910.2,18.12,8807.7
369.7,35910.2,17.93,8807.7
398.6,35910.2,21.5,8807.7
413,35910.2,21.52,8807.7
365.9,35910.2,18.12,8807.7
364.6,35910.2,18.21,8807.7
365.85,35910.2,18.59,8807.7
361.9,35910.2,18.48,8807.7
363.3,35910.2,18.58,8807.7
366.1,35910.2,18.68,8807.7
367.6,35910.2,18.97,8807.7
368.3,35910.2,18.31,8807.7
369,35910.2,18.03,8807.7
369.75,35910.2,18.28,8807.7
369.25,35910.2,18.21,8807.7
370.5,35910.2,18.03,8807.7
366.1,35910.2,17.91,8807.7
360.45,35910.2,18.51,8807.7
360.45,35910.2,18.64,8807.7
359.8,35910.2,18.64,8807.7
361.4,35910.2,18.83,8807.7
359.8,35910.2,18.83,8807.7
359.4,35910.2,18.85,8807.7
358.55,35910.2,19.05,8807.7
364.9,35910.2,18.68,8807.7
366.25,35910.2,18.8,8807.7
365.9,35910.2,19.08,8807.7
366.4,35910.2,19.08,8807.7
366.2,35910.2,18.8,8807.7
362.2,35910.2,18.61,8807.7
370.7,35910.2,19.85,8807.7
371.05,35910.2,19.9,8807.7
372.4,35910.2,19.51,8807.7
371.95,35910.2,18.74,8807.7
371.25,35910.2,18.54,8807.7
372.3,35910.2,18.3,8807.7
364.9,35910.2,19.28,8807.7
367.35,35910.2,19.46,8807.7
368,35910.2,19.53,8807.7
369,35910.2,19.59,8807.7
366.5,35910.2,19.86,8807.7
366.5,35910.2,20.13,8807.7
366.5,35910.2,20.01,8807.7
365.5,35910.2,20.13,8807.7
366,35910.2,20.15,8807.7
366.2,35910.2,19.96,8807.7
363,35910.2,19.87,8807.7
362.9,35910.2,20.02,8807.7
361.9,35910.2,20.17,8807.7
361.05,35910.2,20.25,8807.7
363.15,35910.2,20.47,8807.7
363.2,35910.2,20.89,8807.7
368.4,35910.2,20.59,8807.7
366.65,35910.2,20.75,8807.7
368.5,35910.2,20.56,8807.7
368.6,35910.2,20.42,8807.7
365.65,35910.2,19.98,8807.7
365.5,35910.2,19.76,8807.7
366.6,35910.2,19.72,8807.7
368.65,35910.2,19.62,8807.7
368.6,35910.2,19.38,8807.7
372.6,35910.2,19.77,8807.7
377,35910.2,19.72,8807.7
375.3,35910.2,19.94,8807.7
360.2,35910.2,19.28,8807.7
359.2,35910.2,19.41,8807.7
359.6,35910.2,19.75,8807.7
358.35,35910.2,19.76,8807.7
358.6,35910.2,19.7,8807.7
358.5,35910.2,19.86,8807.7
361.5,35910.2,19.72,8807.7
355.75,35910.2,19.96,8807.7
359.7,35910.2,19.88,8807.7
360.65,35910.2,19.56,8807.7
362.75,35910.2,19.64,8807.7
362.8,35910.2,19.62,8807.7
394.9,35910.2,19.99,8807.7
399,35910.2,19.96,8807.7
409.9,35910.2,19.82,8807.7
415.8,35910.2,19.82,8807.7
413.75,35910.2,19.63,8807.7
409.75,35910.2,19.25,8807.7
410.1,35910.2,19.4,8807.7
408.15,35910.2,19.89,8807.7
413.85,35910.2,20.3,8807.7
408.6,35910.2,20.25,8807.7
403.75,35910.2,20.34,8807.7
402.85,35910.2,20.47,8807.7
406,35910.2,20.51,8807.7
409.35,35910.2,20.48,8807.7
415.5,35910.2,20.7,8807.7
415.5,35910.2,20.65,8807.7
413,35910.2,20.77,8807.7
408.5,35910.2,20.65,8807.7
412.75,35910.2,21.1,8807.7
407.5,35910.2,22.22,8807.7
412.4,35910.2,22.33,8807.7
412.4,35910.2,21.21,8807.7
411.6,35910.2,17.36,8807.7
409.35,35910.2,17.08,8807.7
407.25,35910.2,17.42,8807.7
406.35,35910.2,17.55,8807.7
402.45,35910.2,17.72,8807.7
404.5,35910.2,17.69,8807.7
403.8,35910.2,18.14,8807.7
404.15,35910.2,18.17,8807.7
405.55,35910.2,18.48,8807.7
401.5,35910.2,18.88,8807.7
402.25,35910.2,18.95,8807.7
402.5,35910.2,19.26,8807.7
403.6,35910.2,19.28,8807.7
405.5,35910.2,18.86,8807.7
407.45,35910.2,17.33,8807.7
408.3,35910.2,17.54,8807.7
404.2,35910.2,18.12,8807.7
406.25,35910.2,17.72,8807.7
399.75,35910.2,17.74,8807.7
394,35910.2,17.29,8807.7
394,35910.2,17.03,8807.7
392.8,35910.2,17.51,8807.7
391.1,35910.2,17.73,8807.7
390,35910.2,17.53,8807.7
387.9,35910.2,17.38,8807.7
391,35910.2,17.7,8807.7
390.55,35910.2,17.49,8807.7
393.8,35910.2,17.39,8807.7
389.6,35910.2,17.11,8807.7
384.5,35910.2,17.59,8807.7
384.1,35910.2,17.42,8807.7
381,35910.2,18.25,8807.7
384.25,35910.2,18.33,8807.7
380.4,35910.2,18.56,8807.7
383.5,35910.2,18.59,8807.7
386.75,35910.2,17.84,8807.7
390.5,35910.2,17.83,8807.7
388.4,35910.2,18.07,8807.7
390.6,35910.2,18.14,8807.7
387,35910.2,18.15,8807.7
384.05,35910.2,18.28,8807.7
383.9,35910.2,18.72,8807.7
386.4,35910.2,18.56,8807.7
387.25,35910.2,18.67,8807.7
390.75,35910.2,18.3,8807.7
394.6,35910.2,18.54,8807.7
391.5,35910.2,18.52,8807.7
393.5,35910.2,18.5,8807.7
392.5,35910.2,19.03,8807.7
395,35910.2,19.29,8807.7
392.9,35910.2,19.77,8807.7
389.4,35910.2,19.84,8807.7
394.3,35910.2,20.33,8807.7
395.5,35910.2,19.51,8807.7
392.75,35910.2,20.05,8807.7
393.35,35910.2,20.04,8807.7
394.9,35910.2,20.15,8807.7
394.9,35910.2,20.53,8807.7
390.75,35910.2,19.91,8807.7
382.95,35910.2,20.2,8807.7
383.7,35910.2,20.81,8807.7
383.2,35910.2,20.19,8807.7
385.45,35910.2,19.95,8807.7
386.65,35910.2,20.42,8807.7
383,35910.2,19.99,8807.7
384.35,35910.2,19.8,8807.7
382.25,35910.2,20.02,8807.7
381.5,35910.2,20.59,8807.7
385,35910.2,20.63,8807.7
387.25,35910.2,20.64,8807.7
390.25,35910.2,20.29,8807.7
386.2,35910.2,20.69,8807.7
385.15,35910.2,21.22,8807.7
383.95,35910.2,21.51,8807.7
383.9,35910.2,22.61,8807.7
384,35910.2,24.65,8807.7
384,35910.2,21.32,8807.7
383.55,35910.2,20.61,8807.7
385.9,35910.2,21.41,8807.7
383.85,35910.2,21.19,8807.7
384.25,35910.2,20.92,8807.7
377.55,35910.2,20.42,8807.7
377.55,35910.2,20.66,8807.7
377.45,35910.2,19.8,8807.7
378.6,35910.2,20.1,8807.7
378.25,35910.2,20.58,8807.7
375.7,35910.2,20.02,8807.7
373.05,35910.2,20.07,8807.7
374.25,35910.2,20.01,8807.7
380.5,35910.2,20.21,8807.7
379.75,35910.2,20.1,8807.7
384.1,35910.2,20.02,8807.7
383.2,35910.2,19.87,8807.7
387.1,35910.2,19.92,8807.7
385.35,35910.2,19.84,8807.7
390.5,35910.2,19.59,8807.7
388.25,35910.2,19.5,8807.7
391.4,35910.2,19.67,8807.7
391.4,35910.2,19.86,8807.7
392,35910.2,19.91,8807.7
363.6,35910.2,19.48,8807.7
365.8,35910.2,19.52,8807.7
362.1,35910.2,19.95,8807.7
361.8,35910.2,19.9,8807.7
361.4,35910.2,19.81,8807.7
361.5,35910.2,20.14,8807.7
365.2,35910.2,20.52,8807.7
364.9,35910.2,20.46,8807.7
374.2,35910.2,19.67,8807.7
374.5,35910.2,20,8807.7
368.25,35910.2,19.88,8807.7
359.9,35910.2,19.26,8807.7
358.7,35910.2,19.34,8807.7
361.1,35910.2,20.23,8807.7
361.5,35910.2,20.57,8807.7
365.35,35910.2,19.95,8807.7
364.4,35910.2,20.86,8807.7
366.6,35910.2,19.53,8807.7
365.9,35910.2,19.31,8807.7
369.75,35910.2,19.3,8807.7
370,35910.2,19.71,8807.7
374.7,35910.2,20.25,8807.7
376.25,35910.2,20.48,8807.7
373.75,35910.2,20.03,8807.7
376.3,35910.2,20.26,8807.7
373,35910.2,20.27,8807.7
383.6,35910.2,20.79,8807.7
385.5,35910.2,20.3,8807.7
383.55,35910.2,20.75,8807.7
383.25,35910.2,20.36,8807.7
378.75,35910.2,20.53,8807.7
379.75,35910.2,20.15,8807.7
375.75,35910.2,20.35,8807.7
370.8,35910.2,20.32,8807.7
370.6,35910.2,20.45,8807.7
371.7,35910.2,20.34,8807.7
370,35910.2,20.2,8807.7
365.5,35910.2,20.6,8807.7
359.75,35910.2,20.93,8807.7
364.5,35910.2,19.04,8807.7
361.5,35910.2,19.66,8807.7
378.35,35910.2,20.06,8807.7
378.25,35910.2,19.44,8807.7
376.1,35910.2,19.76,8807.7
377.2,35910.2,19.52,8807.7
371.9,35910.2,20.13,8807.7
377.3,35910.2,20.09,8807.7
373.8,35910.2,20.51,8807.7
374.5,35910.2,20.7,8807.7
408.65,42500,23.67,9070
415.8,42500,22.7,9070
417.95,42500,23.02,9070
423,42500,22.39,9070
421.05,42500,22.51,9070
423.75,42500,22.32,9070
406,42500,22.55,9070
408.25,42500,21.6,9070
420.75,42500,21.59,9070
415.65,42500,22.24,9070
418,42500,22.56,9070
418.75,42500,22.8,9070
418.15,42500,22.46,9070
415.05,42500,22.68,9070
420,42500,21.74,9070
417.65,42500,21.75,9070
415.85,42500,21.42,9070
411.3,42500,21.79,9070
407.55,42500,21.58,9070
418,42500,22.09,9070
415.5,42500,21.74,9070
418.85,42500,22.03,9070
418.05,42500,21.9,9070
414.6,42500,22.07,9070
416.65,42500,22.84,9070
416.5,42500,22.42,9070
419.95,42500,22.19,9070
416.25,42500,23.13,9070
415.6,42500,22.36,9070
412.75,42500,22.78,9070
410.4,42500,22.1,9070
413.4,42500,22.76,9070
402.1,42500,19.6,9070
399.65,42500,19.28,9070
392,42500,19.96,9070
392,42500,20,9070
393.5,42500,20.39,9070
370.25,42500,20.46,9070
368,42500,20.48,9070
372,42500,20.08,9070
371.5,42500,20.03,9070
368.5,42500,20.28,9070
368.4,42500,20.48,9070
375,42500,20.3,9070
374.25,42500,19.78,9070
378.4,42500,19.43,9070
377.7,42500,19.15,9070
376.7,42500,18.44,9070
375.2,42500,17.68,9070
374.5,42500,18.06,9070
375.5,42500,17.78,9070
375.5,42500,17.85,9070
374,42500,17.44,9070
374.75,42500,16.96,9070
375.75,42500,18.06,9070
376,42500,17.95,9070
375.25,42500,19.07,9070
376.8,42500,19,9070
371.45,42500,18.66,9070
407.7,42500,21.54,9070
406.3,42500,21.17,9070
405.05,42500,21.35,9070
403.2,42500,21.58,9070
405.35,42500,21.3,9070
400.5,42500,20.93,9070
400.7,42500,20.78,9070
399.3,42500,20.43,9070
401.25,42500,20.24,9070
397.25,42500,20.22,9070
398.75,42500,20.05,9070
399.5,42500,20.38,9070
400.65,42500,20.07,9070
369,42500,19.71,9070
367.75,42500,19.59,9070
369.85,42500,19.03,9070
369.2,42500,18.87,9070
369.9,42500,18.73,9070
373.1,42500,18.26,9070
375.1,42500,17.68,9070
364.5,42500,18.14,9070
366.5,42500,17.83,9070
366.5,42500,17.8,9070
367.7,42500,17.98,9070
366.4,42500,18.08,9070
363.05,42500,17.4,9070
363.45,42500,17.5,9070
357.05,42500,17.14,9070
358.1,42500,16.68,9070
359.5,42500,16.92,9070
352.8,42500,16.67,9070
353.5,42500,16.78,9070
354.7,42500,16.82,9070
355.75,42500,17.51,9070
350.5,42500,17.58,9070
345.85,42500,17.13,9070
346.9,42500,16.62,9070
349.25,42500,15.94,9070
348.65,42500,15.65,9070
346.9,42500,15.3,9070
349.75,42500,16.94,9070
399,42500,22.89,9070
395,42500,23.68,9070
396.5,42500,23.41,9070
405,42500,23.08,9070
404.6,42500,21.62,9070
403.45,42500,22.07,9070
409.1,42500,22.9,9070
412.1,42500,23.14,9070
386.2,42500,28.44,9070
361.15,42500,16.47,9070
360.25,42500,16.58,9070
354,42500,16.94,9070
354.3,42500,17.47,9070
351.45,42500,18.46,9070
363.6,42500,18.36,9070
363.25,42500,18.67,9070
360.7,42500,18.65,9070
359.4,42500,18.55,9070
362.3,42500,18.99,9070
361,42500,19.61,9070
366.1,42500,20.5,9070
368.7,42500,20.56,9070
